年度,交付金,目標,目標名,指標群,指標,列番号,配点,北塩原村,全国平均,全国中央値,標準偏差,該当市町村数,該当率
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,4 / 通いの場参加者の健康状態の把握・分析 / ア,158,1.0,1.0,0.8701895462377943,,0.3360947780853727,1515.0,0.8701895462377943
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,4 / 通いの場参加者の健康状態の把握・分析 / イ,159,2.0,0.0,1.5278575531303848,,0.849332916825436,1330.0,0.7639287765651924
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,4 / 通いの場参加者の健康状態の把握・分析 / ウ,160,1.0,1.0,0.7208500861573808,,0.4485813632377938,1255.0,0.7208500861573808
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,4 / 通いの場参加者の健康状態の把握・分析 / エ,161,1.0,1.0,0.7438253877082137,,0.43651939282114294,1295.0,0.7438253877082137
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,4 / 通いの場参加者の健康状態の把握・分析 / オ,162,2.0,0.0,1.267087880528432,,0.9636721766632209,1103.0,0.633543940264216
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,5 / 地域リハビリテーションの推進 / ア,163,1.0,0.0,0.47731188971855254,,0.49948498441079975,831.0,0.47731188971855254
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,5 / 地域リハビリテーションの推進 / イ,164,2.0,2.0,1.553130384836301,,0.8330946989213445,1352.0,0.7765651924181505
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,5 / 地域リハビリテーションの推進 / ウ,165,2.0,2.0,1.3934520390580127,,0.9193451435457154,1213.0,0.6967260195290064
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,5 / 地域リハビリテーションの推進 / エ,166,2.0,0.0,0.8512349224583573,,0.9888725659578331,741.0,0.42561746122917865
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,6 / 介護予防・生活支援の体制整備 / ア,167,1.0,1.0,0.8701895462377943,,0.3360947780853727,1515.0,0.8701895462377943
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,6 / 介護予防・生活支援の体制整備 / イ,168,2.0,2.0,1.5680643308443423,,0.8229841529594416,1365.0,0.7840321654221711
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,6 / 介護予防・生活支援の体制整備 / ウ,169,2.0,2.0,1.4520390580126363,,0.8919981446343083,1264.0,0.7260195290063182
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,6 / 介護予防・生活支援の体制整備 / エ,170,2.0,2.0,1.0660539919586445,,0.9978160502549192,928.0,0.5330269959793222
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,6 / 介護予防・生活支援の体制整備 / オ,171,2.0,2.0,0.9557725445146468,,0.9990214873471396,832.0,0.4778862722573234
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / ア,172,1.0,0.0,0.7926479035037335,,0.4054099216532194,1380.0,0.7926479035037335
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / イ,173,1.0,0.0,0.5990809879379667,,0.49008464353541675,1043.0,0.5990809879379667
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / ウ,174,1.0,0.0,0.655944859276278,,0.47505915512207725,1142.0,0.655944859276278
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / エ,175,1.0,0.0,0.5054566341183228,,0.4999702242575039,880.0,0.5054566341183228
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / オ,176,1.0,0.0,0.2556002297530155,,0.4361980654510301,445.0,0.2556002297530155
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅰ）体制・取組指標群,7 / 多様なサービスの活用推進 / カ,177,2.0,0.0,0.7731188971855255,,0.9739224636415816,673.0,0.38655944859276276
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,1 / 地域包括支援センター３職種の配置状況 / ア,178,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,1 / 地域包括支援センター３職種の配置状況 / イ,179,1.0,1.0,0.4997128087306146,,0.49999991752116796,870.0,0.4997128087306146
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,1 / 地域包括支援センター３職種の配置状況 / ウ,180,1.0,1.0,0.2998276852383688,,0.45818232659386854,522.0,0.2998276852383688
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,1 / 地域包括支援センター３職種の配置状況 / エ,181,1.0,1.0,0.09994256174612291,,0.29992340038374016,174.0,0.09994256174612291
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ア / ①,182,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ア / ②,183,1.0,1.0,0.5025847214244687,,0.4999933191705244,875.0,0.5025847214244687
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ア / ③,184,1.0,1.0,0.3251005169442849,,0.46841239397228124,566.0,0.3251005169442849
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ア / ④,185,1.0,0.0,0.17805858701895463,,0.3825620558912867,310.0,0.17805858701895463
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / イ / ①,186,1.0,1.0,0.7179781734635267,,0.44998390626055135,1250.0,0.7179781734635267
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / イ / ②,187,1.0,0.0,0.543365881677197,,0.4981158502862154,946.0,0.543365881677197
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / イ / ③,188,1.0,0.0,0.3147616312464101,,0.4644208724223203,548.0,0.3147616312464101
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / イ / ④,189,1.0,0.0,0.13383113153360138,,0.34047079135520164,233.0,0.13383113153360138
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ウ / ①,190,1.0,1.0,0.7116599655370477,,0.45299013122678045,1239.0,0.7116599655370477
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ウ / ②,191,1.0,0.0,0.5083285468121769,,0.4999306304958693,885.0,0.5083285468121769
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ウ / ③,192,1.0,0.0,0.3199310740953475,,0.46644954917283904,557.0,0.3199310740953475
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,2 / 地域包括支援センター事業評価の達成状況 / ウ / ④,193,1.0,0.0,0.18897185525560023,,0.3914862617983634,329.0,0.18897185525560023
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,3 / 個別事例の検討割合 / ア,194,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,3 / 個別事例の検討割合 / イ,195,1.0,1.0,0.4997128087306146,,0.49999991752116796,870.0,0.4997128087306146
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,3 / 個別事例の検討割合 / ウ,196,1.0,1.0,0.30212521539345205,,0.45917923474054473,526.0,0.30212521539345205
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,3 / 個別事例の検討割合 / エ,197,1.0,0.0,0.10683515221137277,,0.3089035488034179,186.0,0.10683515221137277
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / ア / ①,198,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / ア / ②,199,1.0,1.0,0.4997128087306146,,0.49999991752116796,870.0,0.4997128087306146
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / ア / ③,200,1.0,1.0,0.2998276852383688,,0.45818232659386854,522.0,0.2998276852383688
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / ア / ④,201,1.0,0.0,0.09994256174612291,,0.29992340038374016,174.0,0.09994256174612291
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / イ / ①,202,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / イ / ②,203,1.0,1.0,0.5129236071223435,,0.4998329524740714,893.0,0.5129236071223435
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / イ / ③,204,1.0,0.0,0.2998276852383688,,0.45818232659386854,522.0,0.2998276852383688
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,4 / 通いの場への参加率 / イ / ④,205,1.0,0.0,0.09994256174612291,,0.29992340038374016,174.0,0.09994256174612291
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,5 / ポイント事業への参加率 / ア,206,1.0,0.0,0.5973578403216542,,0.4904298634136213,1040.0,0.5973578403216542
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,5 / ポイント事業への参加率 / イ,207,1.0,0.0,0.2986789201608271,,0.45767873318779995,520.0,0.2986789201608271
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,5 / ポイント事業への参加率 / ウ,208,1.0,0.0,0.17920735209649627,,0.3835258492605924,312.0,0.17920735209649627
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,5 / ポイント事業への参加率 / エ,209,1.0,0.0,0.05973578403216542,,0.23699666693484933,104.0,0.05973578403216542
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,6 / 心身・認知機能維持・改善者の割合 / ア,210,1.0,0.0,0.6306720275703619,,0.48262285607982824,1098.0,0.6306720275703619
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,6 / 心身・認知機能維持・改善者の割合 / イ,211,1.0,0.0,0.31533601378518095,,0.4646495584795633,549.0,0.31533601378518095
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,6 / 心身・認知機能維持・改善者の割合 / ウ,212,1.0,0.0,0.18897185525560023,,0.3914862617983634,329.0,0.18897185525560023
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,6 / 心身・認知機能維持・改善者の割合 / エ,213,1.0,0.0,0.08156232050545663,,0.27369674528430515,142.0,0.08156232050545663
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,7 / 生活支援コーディネーター数 / ア,214,1.0,1.0,0.6995979322228604,,0.45843283635921894,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,7 / 生活支援コーディネーター数 / イ,215,1.0,1.0,0.4997128087306146,,0.49999991752116796,870.0,0.4997128087306146
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,7 / 生活支援コーディネーター数 / ウ,216,1.0,1.0,0.30040206777713957,,0.45843283635921894,523.0,0.30040206777713957
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,7 / 生活支援コーディネーター数 / エ,217,1.0,0.0,0.09994256174612291,,0.29992340038374016,174.0,0.09994256174612291
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,8 / 生活支援コーディネーターの地域ケア会議への参加割合 / ア,218,1.0,1.0,0.7535898908673176,,0.4309201402231067,1312.0,0.7535898908673176
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,8 / 生活支援コーディネーターの地域ケア会議への参加割合 / イ,219,1.0,0.0,0.5749569213095922,,0.49434953216098787,1001.0,0.5749569213095922
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,8 / 生活支援コーディネーターの地域ケア会議への参加割合 / ウ,220,1.0,0.0,0.5749569213095922,,0.49434953216098787,1001.0,0.5749569213095922
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,8 / 生活支援コーディネーターの地域ケア会議への参加割合 / エ,221,1.0,0.0,0.5749569213095922,,0.49434953216098787,1001.0,0.5749569213095922
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ア / ①,222,1.0,1.0,0.3032739804709937,,0.4596725717728577,528.0,0.3032739804709937
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ア / ②,223,1.0,0.0,0.26479035037334864,,0.4412215098139572,461.0,0.26479035037334864
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ア / ③,224,1.0,0.0,0.20333141872487076,,0.40247702156048865,354.0,0.20333141872487076
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ア / ④,225,1.0,0.0,0.09649626651349799,,0.29527061665945353,168.0,0.09649626651349799
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / イ / ①,226,1.0,0.0,0.15795519816197587,,0.3646989903133635,275.0,0.15795519816197587
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / イ / ②,227,1.0,0.0,0.12234348075818495,,0.32768209208645593,213.0,0.12234348075818495
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / イ / ③,228,1.0,0.0,0.07352096496266514,,0.2609897175630176,128.0,0.07352096496266514
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / イ / ④,229,1.0,0.0,0.01263641585295807,,0.11169931444440105,22.0,0.01263641585295807
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ウ / ①,230,1.0,0.0,0.36473291211947156,,0.48135518584130926,635.0,0.36473291211947156
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ウ / ②,231,1.0,0.0,0.2986789201608271,,0.45767873318779995,520.0,0.2986789201608271
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ウ / ③,232,1.0,0.0,0.19529006318207925,,0.3964238317816157,340.0,0.19529006318207925
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / ウ / ④,233,1.0,0.0,0.058012636415852956,,0.23376734252657067,101.0,0.058012636415852956
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,（ⅱ）活動指標群,9 / 多様なサービスの実施状況 / エ,234,1.0,0.0,0.014359563469270534,,0.11896792175306134,25.0,0.014359563469270534
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ（ⅰ） 計,235,52.0,23.0,35.12349224583573,37.0,12.804060625636138,,
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ（ⅱ） 計,236,48.0,22.0,20.157955198161975,20.0,6.3480137649208075,,
令和7年度,支援交付金,目標Ⅰ,介護予防/日常生活支援を推進する,,Ⅰ 合計,237,100.0,45.0,55.2814474439977,57.0,16.027834970038523,,
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,1 / 認知症サポーター等を活用した地域支援体制の構築 / ア,238,5.0,0.0,3.9172889144170018,,2.0594397619427176,1364.0,0.7834577828834004
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,1 / 認知症サポーター等を活用した地域支援体制の構築 / イ,239,5.0,0.0,3.6243538196438827,,2.232896882583746,1262.0,0.7248707639287766
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,1 / 認知症サポーター等を活用した地域支援体制の構築 / ウ,240,5.0,5.0,3.173463526708788,,2.4075811259837043,1105.0,0.6346927053417576
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,1 / 認知症サポーター等を活用した地域支援体制の構築 / エ,241,5.0,0.0,2.0361860999425616,,2.4565985968638646,709.0,0.40723721998851237
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,1 / 認知症サポーター等を活用した地域支援体制の構築 / オ,242,5.0,0.0,1.2607696726019528,,2.1712457704407693,439.0,0.2521539345203906
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / ア,243,4.0,4.0,3.8024124066628375,,0.86678112364534,1655.0,0.9506031016657094
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / イ,244,5.0,5.0,4.681217690982194,,1.2215929700789478,1630.0,0.9362435381964388
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / ウ,245,5.0,0.0,3.0212521539345203,,2.445055457861564,1052.0,0.6042504307869041
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,2 / 早期診断・早期対応の体制構築 / エ,246,5.0,0.0,3.3716255025847213,,2.34313230169445,1174.0,0.6743251005169443
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,3 / 難聴高齢者の早期発見・早期介入 / ア,247,5.0,0.0,2.3779437105112007,,2.497018674779231,828.0,0.4755887421022401
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,3 / 難聴高齢者の早期発見・早期介入 / イ,248,5.0,0.0,1.4962665134979896,,2.2896547967050664,521.0,0.29925330269959793
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,3 / 難聴高齢者の早期発見・早期介入 / ウ,249,5.0,0.0,0.43078690407811604,,1.402981526487563,150.0,0.0861573808156232
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,（ⅰ）体制・取組指標群,3 / 難聴高齢者の早期発見・早期介入 / エ,250,5.0,0.0,0.14933946008041354,,0.85111399122853,52.0,0.02986789201608271
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,1 / 認知症サポーター数 / ア,251,3.0,0.0,2.0987937966685815,,1.3752985090776568,1218.0,0.6995979322228604
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,1 / 認知症サポーター数 / イ,252,3.0,0.0,1.4991384261918437,,1.499999752563504,870.0,0.4997128087306146
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,1 / 認知症サポーター数 / ウ,253,3.0,0.0,0.8994830557151062,,1.3745469797816057,522.0,0.2998276852383688
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,1 / 認知症サポーター数 / エ,254,3.0,0.0,0.2998276852383688,,0.8997702011512205,174.0,0.09994256174612291
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / ア,255,3.0,0.0,1.039058012636416,,1.4274216210655173,603.0,0.3463526708788053
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / イ,256,3.0,0.0,0.5186674325100517,,1.1344542264823143,301.0,0.17288914417001724
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / ウ,257,3.0,0.0,0.31016657093624356,,0.9133982762641841,180.0,0.10338885697874785
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,2 / 認知症サポーターステップアップ講座修了者数 / エ,258,3.0,0.0,0.10338885697874785,,0.5472452057248849,60.0,0.03446295232624928
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,3 / 認知症地域支援推進員の業務の状況 / ア,259,3.0,3.0,2.489948305571511,,1.1269438106206073,1445.0,0.8299827685238369
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,3 / 認知症地域支援推進員の業務の状況 / イ,260,3.0,3.0,1.9798966111430212,,1.4211612303371648,1149.0,0.6599655370476738
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,3 / 認知症地域支援推進員の業務の状況 / ウ,261,3.0,0.0,1.2785755313038483,,1.4835670543196309,742.0,0.42619184376794944
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,活動指標群,3 / 認知症地域支援推進員の業務の状況 / エ,262,3.0,0.0,0.6479035037334865,,1.2344762294391625,376.0,0.21596783457782884
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ（ⅰ） 計,263,64.0,14.0,33.34290637564618,34.0,13.340077186063063,,
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ（ⅱ） 計,264,36.0,6.0,13.164847788627226,12.0,7.444054741628429,,
令和7年度,支援交付金,目標Ⅱ,認知症総合支援を推進する,,Ⅱ 合計,265,100.0,20.0,46.50775416427341,47.0,17.16720397150292,,
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / ア,266,5.0,5.0,3.4032165422171166,,2.3311370354111225,1185.0,0.6806433084434234
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / イ,267,6.0,6.0,5.555427914991384,,1.571555971412659,1612.0,0.925904652498564
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / ウ,268,5.0,0.0,3.6473291211947156,,2.2211789409362233,1270.0,0.7294658242389431
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / エ,269,5.0,0.0,2.6105686387133833,,2.497553718367849,909.0,0.5221137277426766
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,1 / 在宅医療・介護連携に関する課題・対応策の検討 / オ,270,5.0,0.0,2.771395749569213,,2.48522521054245,965.0,0.5542791499138426
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / ア,271,5.0,5.0,4.718552556002297,,1.1523994777227524,1643.0,0.9437105112004595
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ①,272,2.0,2.0,1.8207926479035037,,0.571226250401323,1585.0,0.9103963239517519
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ②,273,2.0,2.0,1.6415852958070074,,0.7670516985211848,1429.0,0.8207926479035037
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / イ / ③,274,2.0,0.0,1.8001148765077541,,0.5998468007674803,1567.0,0.9000574382538771
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / ウ,275,5.0,0.0,3.9689833429063754,,2.0228909852643095,1382.0,0.7937966685812752
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,2 / 在宅医療・介護連携の具体的取組状況 / エ,276,5.0,0.0,3.8110281447444,,2.1286627735947414,1327.0,0.76220562894888
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / ア,277,5.0,5.0,4.6955772544514645,,1.195592120974109,1635.0,0.9391154508902929
令和7年度,支援交付金,目標Ⅲ,在宅医療・在宅介護連携の体制を構築する,（ⅰ）体制・取組指標群,3 / 医療・介護関係者間の情報共有 / イ,278,6.0,6.0,5.358989086731763,,1.8534212928205074,1555.0,0.8931648477886273
